Description,Prix/m²,Tél. commercial,Conseiller immobilier,Source
02 terrains de 554m2 et 1050m2 à 200m de la  cure Vontovorona,31 024 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/65688/Vente-Terrain-ANTANANARIVO-TANANARIVE-02-terrains-de-554m2-et-1050m2-a-200m-de-la-cure-Vontovorona.html
A vendre un terrain de 345 m2 dans un lotissment à Ilafy Antsampandrano,37 494 600 Ar,,,https://www.ofim.mg/54844/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-un-terrain-de-345-m2-dans-un-lotissment-a-Ilafy-Antsampandrano.html
Terrain de 304 m2 en bord de route principale à Antsampandrano Ilafy- Antananarivo,43 600 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67505/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-304-m2-en-bord-de-route-principale-a-Antsampandrano-Ilafy-Antananarivo.html
"Beau terrain de 800 m2, plat prêt à bâtir sur Ampitatafika- Antananarivo",60 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65388/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-800-m2-plat-pret-a-batir-sur-Ampitatafika-Antananarivo.html
"Terrain plat, prêt à bâtir de 503 m2 dans un lotissement à Beravina- Ilafy",75 450 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/68547/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-plat-pret-a-batir-de-503-m2-dans-un-lotissement-a-Beravina-Ilafy.html
"Terrain 428 m2 plat , prêt à bâtir à Ambohitrimanjaka Pagode Antananarivo",76 160 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/69076/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-428-m2-plat-pret-a-batir-a-Ambohitrimanjaka-Pagode-Antananarivo.html
OFIM Immobilier offre en vente un terrain plat de 500m2 prêt à bâtir sur Manazary Ilafy à 15min d'Ambatobe. Accessible voiture et prêt à bâtir. Facilité de paiement possible.,84 000 000 Ar,Perelle LOCK CHIOU,(+261) 34 98 671 11,https://www.ofim.mg/69336/Vente-Terrain-ANTANANARIVO-TANANARIVE-OFIM-Immobilier-offre-en-vente-un-terrain-plat-de-500m2-pret-a-batir-sur-Manazary-Ilafy-a-15min-d-Ambatobe-Accessible-voiture-et-pret-a-batir-Facilite-de-paiement-possible.html
Terrain de 384 m2 dans un lotissement résidentiel à Rangaina Ilafy,89 600 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67102/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-de-384-m2-dans-un-lotissement-residentiel-a-Rangaina-Ilafy.html
Terrain en bord de route avec une belle vue sis à Ambohimalaza- Antananarivo,90 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/66880/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-en-bord-de-route-avec-une-belle-vue-sis-a-Ambohimalaza-Antananarivo.html
,0,,,
Beau terrain de 1000 m2 dans un lotissement clôturé à Ambohimanga- Antananarivo,96 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65242/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-1000-m2-dans-un-lotissement-cloture-a-Ambohimanga-Antananarivo.html
Terrain 750 m2 en bord de route à Antsampandrano Ilafy- Antananarivo,107 520 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67499/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-750-m2-en-bord-de-route-a-Antsampandrano-Ilafy-Antananarivo.html
A vendre terrain de 500 m2 à manazary ilafy à 5 minutes du lycée francais,110 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/50924/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-terrain-de-500-m2-a-manazary-ilafy-a-5-minutes-du-lycee-francais.html
A vendre plusieurs lots de terrains de 500 m2 aménagé  à 10 minutes du lycée francais,110 000 000 Ar,Lova RANDRIAMAMPIANINA,(+261) 34 02 443 01,https://www.ofim.mg/57023/Vente-Terrain-ANTANANARIVO-TANANARIVE-A-vendre-plusieurs-lots-de-terrains-de-500-m2-amenage-a-10-minutes-du-lycee-francais.html
Terrain a vendre 2517 m2 sis Manarintsoa Vontovorona pres Complexe Sportif Cnaps,115 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/51837/Vente-Terrain-ANTANANARIVO-TANANARIVE-Terrain-a-vendre-2517-m2-sis-Manarintsoa-Vontovorona-pres-Complexe-Sportif-Cnaps.html
Vente d'un terrain de 1182m2 situé à 10mn de soavina à Bevalala,118 200 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/65488/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-d-un-terrain-de-1182m2-situe-a-10mn-de-soavina-a-Bevalala.html
Beau terrain de 727 m2 dans un lotissement résidentiel à Antsampandrano Ilafy- Antananarivo,124 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/67461/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-727-m2-dans-un-lotissement-residentiel-a-Antsampandrano-Ilafy-Antananarivo.html
Vente d'un terrain de 1200m2 à Rangaina Ilafy,132 000 000 Ar,Francia RAOLIJAONA,(+261) 34 02 218 69,https://www.ofim.mg/67486/Vente-Terrain-ANTANANARIVO-TANANARIVE-Vente-d-un-terrain-de-1200m2-a-Rangaina-Ilafy.html
Lot de 77 parcelles dans une résidence sécurisée à Ambihijanaka- Antananarivo,140 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/65460/Vente-Terrain-ANTANANARIVO-TANANARIVE-Lot-de-77-parcelles-dans-une-residence-securisee-a-Ambihijanaka-Antananarivo.html
Beau terrain de 634 m2 entièrement clôturé et viabilisé à Manjaka Ilafy- Antananarivo,145 000 000 Ar,Felana RAKOTONDRAVOAVY,(+261) 34 16 547 55,https://www.ofim.mg/63614/Vente-Terrain-ANTANANARIVO-TANANARIVE-Beau-terrain-de-634-m2-entierement-cloture-et-viabilise-a-Manjaka-Ilafy-Antananarivo.html
,0,,,
